V,T,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.269755102040816497e-20,9.999734282829167986e-01,2.657171708311807415e-05
6.539510204081632993e-20,9.998914695016521970e-01,1.085304983480412657e-04
9.809265306122449490e-20,9.997505681348055617e-01,2.494318651944525309e-04
1.307902040816326599e-19,9.995468961462152802e-01,4.531038537848203511e-04
1.634877551020408128e-19,9.992763268368963780e-01,7.236731631034304824e-04
1.961853061224489898e-19,9.989344056098247160e-01,1.065594390175539667e-03
2.288828571428571668e-19,9.985163172087317962e-01,1.483682791267986302e-03
2.615804081632653197e-19,9.980168489184167990e-01,1.983151081582959843e-03
2.942779591836734727e-19,9.974303491259579602e-01,2.569650874042091020e-03
3.269755102040816256e-19,9.967506805365318190e-01,3.249319463468211371e-03
3.596730612244898267e-19,9.959711672101374536e-01,4.028832789862533438e-03
3.923706122448979796e-19,9.950845344313403729e-01,4.915465568659639281e-03
4.250681632653061325e-19,9.940828402366865824e-01,5.917159763313604125e-03
4.577657142857143336e-19,9.929573971953927769e-01,7.042602804607495451e-03
4.904632653061224865e-19,9.916986827576815822e-01,8.301317242318697123e-03
5.231608163265306395e-19,9.902962361379445966e-01,9.703763862055448525e-03
5.558583673469387924e-19,9.887385392689214125e-01,1.126146073107858921e-02
5.885559183673469453e-19,9.870128788248430096e-01,1.298712117515707885e-02
6.212534693877550982e-19,9.851051856351091818e-01,1.489481436489078180e-02
6.539510204081632512e-19,9.829998469543919093e-01,1.700015304560799009e-02
6.866485714285715004e-19,9.806794859648858553e-01,1.932051403511422447e-02
7.193461224489796533e-19,9.781247014870095846e-01,2.187529851299039457e-02
7.520436734693878062e-19,9.753137590639850973e-01,2.468624093601484368e-02
7.847412244897959592e-19,9.722222222222224319e-01,2.777777777777779358e-02
8.174387755102041121e-19,9.688225095962114120e-01,3.117749040378869907e-02
8.501363265306122650e-19,9.650833594651517799e-01,3.491664053484822006e-02
8.828338775510204180e-19,9.609691776803538366e-01,3.903082231964617732e-02
9.155314285714286672e-19,9.564392373896001276e-01,4.356076261039996261e-02
9.482289795918367238e-19,9.514466885364891713e-01,4.855331146351080096e-02
9.809265306122449730e-19,9.459373205571582899e-01,5.406267944284175175e-02
1.013624081632653030e-18,9.398480010778135219e-01,6.015199892218628386e-02
1.046321632653061279e-18,9.331046837318718312e-01,6.689531626812825205e-02
1.079019183673469528e-18,9.256198347107436053e-01,7.438016528925621429e-02
1.111716734693877585e-18,9.172890626329507358e-01,8.271093736704925037e-02
1.144414285714285834e-18,9.079866369544755678e-01,9.201336304552445999e-02
1.177111836734693891e-18,8.975594245412695793e-01,1.024405754587303791e-01
1.209809387755102140e-18,8.858185234881552628e-01,1.141814765118445846e-01
1.242506938775510196e-18,8.725274569231797894e-01,1.274725430768200718e-01
1.275204489795918446e-18,8.573850720566484895e-01,1.426149279433513717e-01
1.307902040816326502e-18,8.400000000000000799e-01,1.599999999999999756e-01
1.340599591836734752e-18,8.198510952379057803e-01,1.801489047620944139e-01
1.373297142857143001e-18,7.962233876129691801e-01,2.037766123870307089e-01
1.405994693877551057e-18,7.680985418529443498e-01,2.319014581470556224e-01
1.438692244897959307e-18,7.339539163118190546e-01,2.660460836881808899e-01
1.471389795918367363e-18,6.913580246913578753e-01,3.086419753086419027e-01
1.504087346938775612e-18,6.360425216541991666e-01,3.639574783458011664e-01
1.536784897959183669e-18,5.593014789808872234e-01,4.406985210191129432e-01
1.569482448979591918e-18,4.374999999999995004e-01,5.625000000000006661e-01
1.602179999999999975e-18,0.000000000000000000e+00,1.000000000000000000e+00
